method,m,i,step,cost,time
random,1,1,0,34.431575775146484,5.116044044494629
random,1,1,1,34.39057922363281,5.116044044494629
random,1,1,2,34.23500061035156,5.116044044494629
random,1,1,3,34.380760192871094,5.116044044494629
random,1,1,4,34.312339782714844,5.116044044494629
random,1,1,5,34.259090423583984,5.116044044494629
random,1,1,6,33.8657112121582,5.116044044494629
random,1,1,7,34.12394714355469,5.116044044494629
random,1,1,8,34.198341369628906,5.116044044494629
random,1,1,9,34.190025329589844,5.116044044494629
random,1,1,10,34.22468948364258,5.116044044494629
random,1,1,11,33.67475128173828,5.116044044494629
random,1,1,12,33.55693817138672,5.116044044494629
random,1,1,13,33.897735595703125,5.116044044494629
random,1,1,14,33.94207763671875,5.116044044494629
random,1,1,15,33.88957977294922,5.116044044494629
random,1,1,16,33.574989318847656,5.116044044494629
random,1,1,17,33.62584686279297,5.116044044494629
random,1,1,18,33.744598388671875,5.116044044494629
random,1,1,19,33.72510528564453,5.116044044494629
random,1,1,20,33.71034240722656,5.116044044494629
random,1,1,21,33.78527069091797,5.116044044494629
random,1,1,22,33.95358657836914,5.116044044494629
random,1,1,23,34.0958366394043,5.116044044494629
random,1,1,24,34.093502044677734,5.116044044494629
random,1,1,25,34.48760986328125,5.116044044494629
random,1,1,26,34.47657012939453,5.116044044494629
random,1,1,27,34.47657012939453,5.116044044494629
random,1,1,28,34.0244026184082,5.116044044494629
random,1,1,29,34.02766418457031,5.116044044494629
random,1,1,30,33.962913513183594,5.116044044494629
random,1,1,31,33.714576721191406,5.116044044494629
random,1,1,32,33.628665924072266,5.116044044494629
random,1,1,33,33.628665924072266,5.116044044494629
random,1,1,34,33.62307357788086,5.116044044494629
random,1,1,35,33.449859619140625,5.116044044494629
random,1,1,36,33.5334587097168,5.116044044494629
random,1,1,37,33.383365631103516,5.116044044494629
random,1,1,38,33.383365631103516,5.116044044494629
random,1,1,39,33.21330261230469,5.116044044494629
random,1,1,40,33.18304443359375,5.116044044494629
random,1,1,41,32.99761199951172,5.116044044494629
random,1,1,42,32.947845458984375,5.116044044494629
random,1,1,43,32.74504852294922,5.116044044494629
random,1,1,44,32.6884651184082,5.116044044494629
random,1,1,45,32.97373962402344,5.116044044494629
random,1,1,46,32.911949157714844,5.116044044494629
random,1,1,47,32.6108512878418,5.116044044494629
random,1,1,48,32.494937896728516,5.116044044494629
random,1,1,49,32.370426177978516,5.116044044494629
random,1,1,50,32.397438049316406,5.116044044494629
random,1,1,51,32.47879409790039,5.116044044494629
random,1,1,52,32.39524841308594,5.116044044494629
random,1,1,53,32.39524841308594,5.116044044494629
random,1,1,54,32.63813400268555,5.116044044494629
random,1,1,55,32.63813400268555,5.116044044494629
random,1,1,56,32.63813400268555,5.116044044494629
random,1,1,57,32.887115478515625,5.116044044494629
random,1,1,58,33.002254486083984,5.116044044494629
random,1,1,59,33.122337341308594,5.116044044494629
random,1,1,60,33.11106872558594,5.116044044494629
random,1,1,61,33.52476501464844,5.116044044494629
random,1,1,62,33.52476501464844,5.116044044494629
random,1,1,63,33.271156311035156,5.116044044494629
random,1,1,64,33.271156311035156,5.116044044494629
random,1,1,65,33.07732391357422,5.116044044494629
random,1,1,66,32.98429870605469,5.116044044494629
random,1,1,67,33.01294708251953,5.116044044494629
random,1,1,68,33.35884475708008,5.116044044494629
random,1,1,69,33.50434875488281,5.116044044494629
random,1,1,70,33.488258361816406,5.116044044494629
random,1,1,71,33.488258361816406,5.116044044494629
random,1,1,72,33.556922912597656,5.116044044494629
random,1,1,73,33.665428161621094,5.116044044494629
random,1,1,74,33.06317901611328,5.116044044494629
random,1,1,75,33.00251007080078,5.116044044494629
random,1,1,76,33.00251007080078,5.116044044494629
random,1,1,77,33.05633544921875,5.116044044494629
random,1,1,78,33.33148956298828,5.116044044494629
random,1,1,79,33.821189880371094,5.116044044494629
random,1,1,80,34.01231384277344,5.116044044494629
random,1,1,81,34.10113525390625,5.116044044494629
random,1,1,82,33.8288459777832,5.116044044494629
random,1,1,83,33.804443359375,5.116044044494629
random,1,1,84,33.739646911621094,5.116044044494629
random,1,1,85,33.18227767944336,5.116044044494629
random,1,1,86,33.45572280883789,5.116044044494629
random,1,1,87,33.45209503173828,5.116044044494629
random,1,1,88,33.45209503173828,5.116044044494629
random,1,1,89,33.676876068115234,5.116044044494629
random,1,1,90,33.704856872558594,5.116044044494629
random,1,1,91,33.967105865478516,5.116044044494629
random,1,1,92,34.173980712890625,5.116044044494629
random,1,1,93,34.38230514526367,5.116044044494629
random,1,1,94,34.46250915527344,5.116044044494629
random,1,1,95,34.47209167480469,5.116044044494629
random,1,1,96,34.608604431152344,5.116044044494629
random,1,1,97,34.60931396484375,5.116044044494629
random,1,1,98,34.409950256347656,5.116044044494629
random,1,1,99,34.934326171875,5.116044044494629
random,1,1,100,35.19715881347656,5.116044044494629
random,1,1,101,35.23446273803711,5.116044044494629
random,1,1,102,35.32090377807617,5.116044044494629
random,1,1,103,35.30006408691406,5.116044044494629
random,1,1,104,34.829856872558594,5.116044044494629
random,1,1,105,35.03292465209961,5.116044044494629
random,1,1,106,34.757633209228516,5.116044044494629
random,1,1,107,34.69164276123047,5.116044044494629
random,1,1,108,34.979400634765625,5.116044044494629
random,1,1,109,35.040225982666016,5.116044044494629
random,1,1,110,34.82890701293945,5.116044044494629
random,1,1,111,34.54903030395508,5.116044044494629
random,1,1,112,34.60391616821289,5.116044044494629
random,1,1,113,33.80274963378906,5.116044044494629
random,1,1,114,33.93935012817383,5.116044044494629
random,1,1,115,33.905452728271484,5.116044044494629
random,1,1,116,33.896018981933594,5.116044044494629
random,1,1,117,33.96673583984375,5.116044044494629
random,1,1,118,33.96673583984375,5.116044044494629
random,1,1,119,33.667274475097656,5.116044044494629
random,1,1,120,33.133358001708984,5.116044044494629
random,1,1,121,33.152099609375,5.116044044494629
random,1,1,122,33.23272705078125,5.116044044494629
random,1,1,123,33.23272705078125,5.116044044494629
random,1,1,124,33.37651824951172,5.116044044494629
random,1,1,125,33.37651824951172,5.116044044494629
random,1,1,126,33.333274841308594,5.116044044494629
random,1,1,127,33.49398422241211,5.116044044494629
random,1,1,128,33.18149185180664,5.116044044494629
random,1,1,129,33.29209899902344,5.116044044494629
random,1,1,130,33.21299362182617,5.116044044494629
random,1,1,131,33.244224548339844,5.116044044494629
random,1,1,132,33.05570983886719,5.116044044494629
random,1,1,133,33.11681365966797,5.116044044494629
random,1,1,134,32.587013244628906,5.116044044494629
random,1,1,135,32.614776611328125,5.116044044494629
random,1,1,136,32.58416748046875,5.116044044494629
random,1,1,137,32.64793014526367,5.116044044494629
random,1,1,138,32.48112869262695,5.116044044494629
random,1,1,139,32.88561248779297,5.116044044494629
random,1,1,140,33.16996765136719,5.116044044494629
random,1,1,141,33.21184539794922,5.116044044494629
random,1,1,142,33.603458404541016,5.116044044494629
random,1,1,143,33.670982360839844,5.116044044494629
random,1,1,144,33.44854736328125,5.116044044494629
random,1,1,145,33.47510528564453,5.116044044494629
random,1,1,146,33.26347351074219,5.116044044494629
random,1,1,147,33.4818229675293,5.116044044494629
random,1,1,148,33.41484832763672,5.116044044494629
random,1,1,149,33.334083557128906,5.116044044494629
random,1,1,150,33.307586669921875,5.116044044494629
random,1,1,151,33.53142166137695,5.116044044494629
random,1,1,152,33.36260986328125,5.116044044494629
random,1,1,153,33.482398986816406,5.116044044494629
random,1,1,154,33.751068115234375,5.116044044494629
random,1,1,155,33.544227600097656,5.116044044494629
random,1,1,156,34.15892791748047,5.116044044494629
random,1,1,157,34.10358810424805,5.116044044494629
random,1,1,158,34.149410247802734,5.116044044494629
random,1,1,159,34.09636688232422,5.116044044494629
random,1,1,160,34.126808166503906,5.116044044494629
random,1,1,161,34.0672492980957,5.116044044494629
random,1,1,162,33.93529510498047,5.116044044494629
random,1,1,163,33.892486572265625,5.116044044494629
random,1,1,164,33.48198699951172,5.116044044494629
random,1,1,165,33.81623840332031,5.116044044494629
random,1,1,166,34.264068603515625,5.116044044494629
random,1,1,167,34.214019775390625,5.116044044494629
random,1,1,168,34.01282501220703,5.116044044494629
random,1,1,169,33.916259765625,5.116044044494629
random,1,1,170,34.180938720703125,5.116044044494629
random,1,1,171,34.06275939941406,5.116044044494629
random,1,1,172,34.06275939941406,5.116044044494629
random,1,1,173,34.10736083984375,5.116044044494629
random,1,1,174,34.10770797729492,5.116044044494629
random,1,1,175,34.10770797729492,5.116044044494629
random,1,1,176,34.10770797729492,5.116044044494629
random,1,1,177,34.017208099365234,5.116044044494629
random,1,1,178,34.04400634765625,5.116044044494629
random,1,1,179,34.28096389770508,5.116044044494629
random,1,1,180,34.27674102783203,5.116044044494629
random,1,1,181,33.87963104248047,5.116044044494629
random,1,1,182,33.87682342529297,5.116044044494629
random,1,1,183,33.78195571899414,5.116044044494629
random,1,1,184,33.64634704589844,5.116044044494629
random,1,1,185,33.846763610839844,5.116044044494629
random,1,1,186,33.846763610839844,5.116044044494629
random,1,1,187,33.94873046875,5.116044044494629
random,1,1,188,33.31269836425781,5.116044044494629
random,1,1,189,33.313411712646484,5.116044044494629
random,1,1,190,33.63652038574219,5.116044044494629
random,1,1,191,33.943603515625,5.116044044494629
random,1,1,192,34.186256408691406,5.116044044494629
random,1,1,193,33.955142974853516,5.116044044494629
random,1,1,194,33.86719512939453,5.116044044494629
random,1,1,195,33.86719512939453,5.116044044494629
random,1,1,196,34.00262451171875,5.116044044494629
random,1,1,197,34.037254333496094,5.116044044494629
random,1,1,198,34.12517166137695,5.116044044494629
random,1,1,199,34.047584533691406,5.116044044494629
random,1,1,200,34.02851104736328,5.116044044494629
random,1,1,201,34.062744140625,5.116044044494629
random,1,1,202,34.08074951171875,5.116044044494629
random,1,1,203,34.08074951171875,5.116044044494629
random,1,1,204,34.502254486083984,5.116044044494629
random,1,1,205,34.502254486083984,5.116044044494629
random,1,1,206,34.502254486083984,5.116044044494629
random,1,1,207,34.58978271484375,5.116044044494629
random,1,1,208,33.986106872558594,5.116044044494629
random,1,1,209,33.969905853271484,5.116044044494629
random,1,1,210,33.969905853271484,5.116044044494629
random,1,1,211,33.97230529785156,5.116044044494629
random,1,1,212,34.21417999267578,5.116044044494629
random,1,1,213,33.820308685302734,5.116044044494629
random,1,1,214,33.84776306152344,5.116044044494629
random,1,1,215,33.84776306152344,5.116044044494629
random,1,1,216,33.84776306152344,5.116044044494629
random,1,1,217,33.84776306152344,5.116044044494629
random,1,1,218,34.0643310546875,5.116044044494629
random,1,1,219,34.02527618408203,5.116044044494629
random,1,1,220,34.02527618408203,5.116044044494629
random,1,1,221,34.141292572021484,5.116044044494629
random,1,1,222,33.99229431152344,5.116044044494629
random,1,1,223,33.601924896240234,5.116044044494629
random,1,1,224,33.7561149597168,5.116044044494629
random,1,1,225,33.190345764160156,5.116044044494629
random,1,1,226,33.20643615722656,5.116044044494629
random,1,1,227,33.38702392578125,5.116044044494629
random,1,1,228,33.235939025878906,5.116044044494629
random,1,1,229,33.2501106262207,5.116044044494629
random,1,1,230,33.2501106262207,5.116044044494629
random,1,1,231,33.41116714477539,5.116044044494629
random,1,1,232,33.44233322143555,5.116044044494629
random,1,1,233,33.403141021728516,5.116044044494629
random,1,1,234,33.465187072753906,5.116044044494629
random,1,1,235,33.719566345214844,5.116044044494629
random,1,1,236,33.98566436767578,5.116044044494629
random,1,1,237,34.20183563232422,5.116044044494629
random,1,1,238,34.21422576904297,5.116044044494629
random,1,1,239,34.268104553222656,5.116044044494629
random,1,1,240,34.045265197753906,5.116044044494629
random,1,1,241,33.64519500732422,5.116044044494629
random,1,1,242,34.24973678588867,5.116044044494629
random,1,1,243,34.41297912597656,5.116044044494629
random,1,1,244,34.397308349609375,5.116044044494629
random,1,1,245,34.12551498413086,5.116044044494629
random,1,1,246,33.83905792236328,5.116044044494629
random,1,1,247,33.40411376953125,5.116044044494629
random,1,1,248,33.912384033203125,5.116044044494629
random,1,1,249,33.26932144165039,5.116044044494629
random,1,1,250,33.26932144165039,5.116044044494629
random,1,1,251,33.17710876464844,5.116044044494629
random,1,1,252,33.17139434814453,5.116044044494629
random,1,1,253,32.34563064575195,5.116044044494629
random,1,1,254,32.34174728393555,5.116044044494629
random,1,1,255,32.11836242675781,5.116044044494629
random,1,1,256,32.125247955322266,5.116044044494629
random,1,1,257,32.125247955322266,5.116044044494629
random,1,1,258,32.12334060668945,5.116044044494629
random,1,1,259,32.2315673828125,5.116044044494629
random,1,1,260,32.342281341552734,5.116044044494629
random,1,1,261,32.342281341552734,5.116044044494629
random,1,1,262,32.18096160888672,5.116044044494629
random,1,1,263,32.2900276184082,5.116044044494629
random,1,1,264,32.0194091796875,5.116044044494629
random,1,1,265,32.0194091796875,5.116044044494629
random,1,1,266,31.762392044067383,5.116044044494629
random,1,1,267,31.762392044067383,5.116044044494629
random,1,1,268,31.917993545532227,5.116044044494629
random,1,1,269,31.917993545532227,5.116044044494629
random,1,1,270,32.135040283203125,5.116044044494629
random,1,1,271,31.78915023803711,5.116044044494629
random,1,1,272,31.936046600341797,5.116044044494629
random,1,1,273,31.97713851928711,5.116044044494629
random,1,1,274,31.97713851928711,5.116044044494629
random,1,1,275,31.982276916503906,5.116044044494629
random,1,1,276,31.99095916748047,5.116044044494629
random,1,1,277,31.88068962097168,5.116044044494629
random,1,1,278,31.869110107421875,5.116044044494629
random,1,1,279,32.220909118652344,5.116044044494629
random,1,1,280,31.901308059692383,5.116044044494629
random,1,1,281,32.005611419677734,5.116044044494629
random,1,1,282,32.005611419677734,5.116044044494629
random,1,1,283,31.983640670776367,5.116044044494629
random,1,1,284,31.938905715942383,5.116044044494629
random,1,1,285,32.43190002441406,5.116044044494629
random,1,1,286,32.580169677734375,5.116044044494629
random,1,1,287,32.46860885620117,5.116044044494629
random,1,1,288,32.46867752075195,5.116044044494629
random,1,1,289,32.476322174072266,5.116044044494629
random,1,1,290,32.36634063720703,5.116044044494629
random,1,1,291,32.07137680053711,5.116044044494629
random,1,1,292,31.467662811279297,5.116044044494629
random,1,1,293,31.561904907226562,5.116044044494629
random,1,1,294,31.561904907226562,5.116044044494629
random,1,1,295,31.74886703491211,5.116044044494629
random,1,1,296,31.643665313720703,5.116044044494629
random,1,1,297,32.34981918334961,5.116044044494629
random,1,1,298,32.475318908691406,5.116044044494629
random,1,1,299,33.11744689941406,5.116044044494629
random,1,1,300,33.26498794555664,5.116044044494629
random,1,1,301,33.5150146484375,5.116044044494629
random,1,1,302,33.495731353759766,5.116044044494629
random,1,1,303,33.49370574951172,5.116044044494629
random,1,1,304,33.47865295410156,5.116044044494629
random,1,1,305,33.7403678894043,5.116044044494629
random,1,1,306,34.54420471191406,5.116044044494629
random,1,1,307,34.622615814208984,5.116044044494629
random,1,1,308,34.348716735839844,5.116044044494629
random,1,1,309,34.27499008178711,5.116044044494629
random,1,1,310,34.20608139038086,5.116044044494629
random,1,1,311,34.17755889892578,5.116044044494629
random,1,1,312,33.81684112548828,5.116044044494629
random,1,1,313,33.86238098144531,5.116044044494629
random,1,1,314,34.19184112548828,5.116044044494629
random,1,1,315,34.19184112548828,5.116044044494629
random,1,1,316,34.175323486328125,5.116044044494629
random,1,1,317,34.62982940673828,5.116044044494629
random,1,1,318,34.62628173828125,5.116044044494629
random,1,1,319,34.62628173828125,5.116044044494629
random,1,1,320,34.257354736328125,5.116044044494629
random,1,1,321,34.512088775634766,5.116044044494629
random,1,1,322,34.6923942565918,5.116044044494629
random,1,1,323,34.269264221191406,5.116044044494629
random,1,1,324,34.25078582763672,5.116044044494629
random,1,1,325,34.304054260253906,5.116044044494629
random,1,1,326,34.24406433105469,5.116044044494629
random,1,1,327,34.61646270751953,5.116044044494629
random,1,1,328,34.413883209228516,5.116044044494629
random,1,1,329,34.060245513916016,5.116044044494629
random,1,1,330,33.68849563598633,5.116044044494629
random,1,1,331,33.68849563598633,5.116044044494629
random,1,1,332,33.697601318359375,5.116044044494629
random,1,1,333,33.674034118652344,5.116044044494629
random,1,1,334,33.711387634277344,5.116044044494629
random,1,1,335,33.89856719970703,5.116044044494629
random,1,1,336,33.910152435302734,5.116044044494629
random,1,1,337,33.501407623291016,5.116044044494629
random,1,1,338,33.336551666259766,5.116044044494629
random,1,1,339,32.906524658203125,5.116044044494629
random,1,1,340,33.12104415893555,5.116044044494629
random,1,1,341,32.580963134765625,5.116044044494629
random,1,1,342,32.35836410522461,5.116044044494629
random,1,1,343,32.37062454223633,5.116044044494629
random,1,1,344,32.37062454223633,5.116044044494629
random,1,1,345,32.16658401489258,5.116044044494629
random,1,1,346,32.54876708984375,5.116044044494629
random,1,1,347,32.52117919921875,5.116044044494629
random,1,1,348,32.677947998046875,5.116044044494629
random,1,1,349,33.021522521972656,5.116044044494629
random,1,1,350,33.20845031738281,5.116044044494629
random,1,1,351,33.103267669677734,5.116044044494629
random,1,1,352,32.394615173339844,5.116044044494629
random,1,1,353,32.55537414550781,5.116044044494629
random,1,1,354,32.578060150146484,5.116044044494629
random,1,1,355,32.58660888671875,5.116044044494629
random,1,1,356,32.58660888671875,5.116044044494629
random,1,1,357,32.557952880859375,5.116044044494629
random,1,1,358,32.32524490356445,5.116044044494629
random,1,1,359,32.37508773803711,5.116044044494629
random,1,1,360,33.019325256347656,5.116044044494629
random,1,1,361,33.1197395324707,5.116044044494629
random,1,1,362,33.115211486816406,5.116044044494629
random,1,1,363,33.17960739135742,5.116044044494629
random,1,1,364,33.217872619628906,5.116044044494629
random,1,1,365,33.24574279785156,5.116044044494629
random,1,1,366,33.24461364746094,5.116044044494629
random,1,1,367,33.618736267089844,5.116044044494629
random,1,1,368,33.64439010620117,5.116044044494629
random,1,1,369,33.20753860473633,5.116044044494629
random,1,1,370,33.536956787109375,5.116044044494629
random,1,1,371,33.536956787109375,5.116044044494629
random,1,1,372,33.814483642578125,5.116044044494629
random,1,1,373,33.82389450073242,5.116044044494629
random,1,1,374,33.80950927734375,5.116044044494629
random,1,1,375,34.09977722167969,5.116044044494629
random,1,1,376,34.17304992675781,5.116044044494629
