method,m,i,step,cost,time
sampled,5,5,0,39.64519500732422,53.091943979263306
sampled,5,5,1,38.60306167602539,53.091943979263306
sampled,5,5,2,38.10761260986328,53.091943979263306
sampled,5,5,3,37.58775329589844,53.091943979263306
sampled,5,5,4,36.63690948486328,53.091943979263306
sampled,5,5,5,35.91924285888672,53.091943979263306
sampled,5,5,6,35.389400482177734,53.091943979263306
sampled,5,5,7,34.565372467041016,53.091943979263306
sampled,5,5,8,33.80358123779297,53.091943979263306
sampled,5,5,9,33.603477478027344,53.091943979263306
sampled,5,5,10,32.71654510498047,53.091943979263306
sampled,5,5,11,31.991069793701172,53.091943979263306
sampled,5,5,12,31.560190200805664,53.091943979263306
sampled,5,5,13,30.947011947631836,53.091943979263306
sampled,5,5,14,30.618732452392578,53.091943979263306
sampled,5,5,15,29.934894561767578,53.091943979263306
sampled,5,5,16,29.502613067626953,53.091943979263306
sampled,5,5,17,29.008983612060547,53.091943979263306
sampled,5,5,18,28.617341995239258,53.091943979263306
sampled,5,5,19,28.228496551513672,53.091943979263306
sampled,5,5,20,27.35491371154785,53.091943979263306
sampled,5,5,21,26.642412185668945,53.091943979263306
sampled,5,5,22,25.952482223510742,53.091943979263306
sampled,5,5,23,25.675537109375,53.091943979263306
sampled,5,5,24,25.550865173339844,53.091943979263306
sampled,5,5,25,24.99648094177246,53.091943979263306
sampled,5,5,26,24.57063865661621,53.091943979263306
sampled,5,5,27,24.12190818786621,53.091943979263306
sampled,5,5,28,23.978649139404297,53.091943979263306
sampled,5,5,29,23.474586486816406,53.091943979263306
sampled,5,5,30,23.115619659423828,53.091943979263306
sampled,5,5,31,23.136035919189453,53.091943979263306
sampled,5,5,32,22.49016571044922,53.091943979263306
sampled,5,5,33,21.55797576904297,53.091943979263306
sampled,5,5,34,21.564706802368164,53.091943979263306
sampled,5,5,35,21.559925079345703,53.091943979263306
sampled,5,5,36,21.444717407226562,53.091943979263306
sampled,5,5,37,21.31296157836914,53.091943979263306
sampled,5,5,38,21.007871627807617,53.091943979263306
sampled,5,5,39,20.5126953125,53.091943979263306
sampled,5,5,40,20.204158782958984,53.091943979263306
sampled,5,5,41,19.735538482666016,53.091943979263306
sampled,5,5,42,19.572772979736328,53.091943979263306
sampled,5,5,43,19.5712833404541,53.091943979263306
sampled,5,5,44,19.202259063720703,53.091943979263306
sampled,5,5,45,19.15453338623047,53.091943979263306
sampled,5,5,46,19.26411247253418,53.091943979263306
sampled,5,5,47,19.273588180541992,53.091943979263306
sampled,5,5,48,19.076644897460938,53.091943979263306
sampled,5,5,49,18.660491943359375,53.091943979263306
sampled,5,5,50,18.170148849487305,53.091943979263306
sampled,5,5,51,17.943218231201172,53.091943979263306
sampled,5,5,52,17.943218231201172,53.091943979263306
sampled,5,5,53,17.907575607299805,53.091943979263306
sampled,5,5,54,17.507728576660156,53.091943979263306
sampled,5,5,55,17.261890411376953,53.091943979263306
sampled,5,5,56,17.188892364501953,53.091943979263306
sampled,5,5,57,16.908985137939453,53.091943979263306
sampled,5,5,58,17.062759399414062,53.091943979263306
sampled,5,5,59,16.93140411376953,53.091943979263306
sampled,5,5,60,16.715251922607422,53.091943979263306
sampled,5,5,61,16.661808013916016,53.091943979263306
sampled,5,5,62,16.635042190551758,53.091943979263306
sampled,5,5,63,16.361608505249023,53.091943979263306
sampled,5,5,64,16.561006546020508,53.091943979263306
sampled,5,5,65,16.596885681152344,53.091943979263306
sampled,5,5,66,16.76738739013672,53.091943979263306
sampled,5,5,67,16.248939514160156,53.091943979263306
sampled,5,5,68,16.226003646850586,53.091943979263306
sampled,5,5,69,15.962227821350098,53.091943979263306
sampled,5,5,70,15.952888488769531,53.091943979263306
sampled,5,5,71,15.68203353881836,53.091943979263306
sampled,5,5,72,15.851683616638184,53.091943979263306
sampled,5,5,73,16.194732666015625,53.091943979263306
sampled,5,5,74,15.966545104980469,53.091943979263306
sampled,5,5,75,15.80844783782959,53.091943979263306
sampled,5,5,76,15.80844783782959,53.091943979263306
sampled,5,5,77,15.862539291381836,53.091943979263306
sampled,5,5,78,15.535341262817383,53.091943979263306
sampled,5,5,79,15.535341262817383,53.091943979263306
sampled,5,5,80,15.447874069213867,53.091943979263306
sampled,5,5,81,15.365594863891602,53.091943979263306
sampled,5,5,82,15.325382232666016,53.091943979263306
sampled,5,5,83,15.072685241699219,53.091943979263306
sampled,5,5,84,14.81722354888916,53.091943979263306
sampled,5,5,85,14.868881225585938,53.091943979263306
sampled,5,5,86,14.728385925292969,53.091943979263306
sampled,5,5,87,14.673413276672363,53.091943979263306
sampled,5,5,88,14.730145454406738,53.091943979263306
sampled,5,5,89,14.648759841918945,53.091943979263306
sampled,5,5,90,14.44083309173584,53.091943979263306
sampled,5,5,91,14.667810440063477,53.091943979263306
sampled,5,5,92,14.635342597961426,53.091943979263306
sampled,5,5,93,14.40419864654541,53.091943979263306
sampled,5,5,94,14.545949935913086,53.091943979263306
sampled,5,5,95,14.263553619384766,53.091943979263306
sampled,5,5,96,14.110678672790527,53.091943979263306
sampled,5,5,97,14.100015640258789,53.091943979263306
sampled,5,5,98,14.251558303833008,53.091943979263306
sampled,5,5,99,14.347671508789062,53.091943979263306
sampled,5,5,100,14.196128845214844,53.091943979263306
sampled,5,5,101,14.402938842773438,53.091943979263306
sampled,5,5,102,14.401911735534668,53.091943979263306
sampled,5,5,103,14.836360931396484,53.091943979263306
sampled,5,5,104,14.836360931396484,53.091943979263306
sampled,5,5,105,14.660398483276367,53.091943979263306
sampled,5,5,106,14.522936820983887,53.091943979263306
sampled,5,5,107,14.522936820983887,53.091943979263306
sampled,5,5,108,14.492255210876465,53.091943979263306
sampled,5,5,109,14.366132736206055,53.091943979263306
sampled,5,5,110,14.613922119140625,53.091943979263306
sampled,5,5,111,14.718284606933594,53.091943979263306
sampled,5,5,112,14.82347297668457,53.091943979263306
sampled,5,5,113,14.770852088928223,53.091943979263306
sampled,5,5,114,14.562904357910156,53.091943979263306
sampled,5,5,115,14.42857551574707,53.091943979263306
