method,m,i,step,cost,time
sampled,10,4,0,23.563064575195312,16.770188093185425
sampled,10,4,1,22.23094940185547,16.770188093185425
sampled,10,4,2,21.475431442260742,16.770188093185425
sampled,10,4,3,20.377193450927734,16.770188093185425
sampled,10,4,4,19.774917602539062,16.770188093185425
sampled,10,4,5,19.240537643432617,16.770188093185425
sampled,10,4,6,18.18438148498535,16.770188093185425
sampled,10,4,7,17.27161407470703,16.770188093185425
sampled,10,4,8,16.269210815429688,16.770188093185425
sampled,10,4,9,15.744460105895996,16.770188093185425
sampled,10,4,10,15.708013534545898,16.770188093185425
sampled,10,4,11,14.916654586791992,16.770188093185425
sampled,10,4,12,14.395877838134766,16.770188093185425
sampled,10,4,13,13.83047866821289,16.770188093185425
sampled,10,4,14,13.043737411499023,16.770188093185425
sampled,10,4,15,12.896833419799805,16.770188093185425
sampled,10,4,16,12.373634338378906,16.770188093185425
sampled,10,4,17,12.035675048828125,16.770188093185425
sampled,10,4,18,11.95804500579834,16.770188093185425
sampled,10,4,19,11.784015655517578,16.770188093185425
sampled,10,4,20,11.373479843139648,16.770188093185425
sampled,10,4,21,11.375442504882812,16.770188093185425
sampled,10,4,22,11.255288124084473,16.770188093185425
sampled,10,4,23,10.972009658813477,16.770188093185425
sampled,10,4,24,10.857197761535645,16.770188093185425
sampled,10,4,25,11.1172456741333,16.770188093185425
sampled,10,4,26,11.094781875610352,16.770188093185425
sampled,10,4,27,10.584900856018066,16.770188093185425
sampled,10,4,28,10.441673278808594,16.770188093185425
sampled,10,4,29,10.41340160369873,16.770188093185425
sampled,10,4,30,10.392437934875488,16.770188093185425
sampled,10,4,31,10.492935180664062,16.770188093185425
sampled,10,4,32,10.352998733520508,16.770188093185425
sampled,10,4,33,10.308364868164062,16.770188093185425
sampled,10,4,34,10.407014846801758,16.770188093185425
sampled,10,4,35,10.30261516571045,16.770188093185425
sampled,10,4,36,10.41523551940918,16.770188093185425
sampled,10,4,37,10.096664428710938,16.770188093185425
sampled,10,4,38,10.174436569213867,16.770188093185425
sampled,10,4,39,9.744592666625977,16.770188093185425
